title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Release Me,Wilson Phillips,485,97.188621521,C,major,0.219706997275,295.601623535,0.471,0.0358,0.448,2.5e-06,0.218,0.724,-11.143,0.442,-11.143,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Don’t Go to Strangers,J.J. Cale,282,117.514511108,G,minor,0.487749397755,145.426574707,0.217,0.0499,0.792,0.228,0.111,0.789,-20.726,0.876,-20.726,dark,tonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Hey Mario,Patent Pending,301,99.9311065674,A,major,0.861603438854,181.629394531,0.674,0.0621,0.0529,0,0.057,0.691,-5.98,0.911,-5.98,bright,tonal,voice,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Let's Go Disco,The Real Thing,382,112.484458923,A,major,0.709012389183,204.199188232,0.521,0.136,0.059,0.00496,0.0471,0.882,-11.993,0.592,-11.993,bright,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
I Keep Callin’,Al Jarreau,474,97.6706542969,D#,major,0.654173314571,291.637329102,0.397,0.0373,0.171,0.00615,0.128,0.764,-12.464,0.883,-12.464,bright,atonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
NARC,Interpol,515,120.603805542,B,minor,0.699596166611,261.224487305,0.874,0.0341,0.0513,0.554,0.379,0.559,-2.902,0.708,-2.902,bright,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Rocky,Dog Eat Dog,244,102.061462402,B,major,0.957238316536,144.169799805,0.969,0.0629,0.000797,0,0.0876,0.563,-4.62,0.576,-4.62,dark,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
Attention,The Academy Is…,433,151.847198486,D,minor,0.91465896368,173.506378174,0.869,0.142,0.00342,0,0.138,0.517,-5.365,0.412,-5.365,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
You Make the Whole World Cry,Tanita Tikaram,463,127.731941223,A,major,0.586103796959,218.279190063,0.517,0.03,0.28,0.0487,0.0939,0.577,-14.991,0.72,-14.991,bright,tonal,voice,sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Gone to Croatan,Jah Wobble,2162,143.249511719,E,minor,0.845462679863,931.108581543,0.332,0.03,0.643,0.903,0.131,0.575,-15.04,0.343,-15.04,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Bo Meets the Monster,Bo Diddley,474,152.204208374,G,major,0.715112268925,188.133331299,0.622,0.0437,0.914,1.75e-06,0.187,0.663,-7.954,0.695,-7.954,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Don't Look Down (The Sequel),Go West,561,129.968353271,D#,major,0.944288909435,259.631011963,0.943,0.0612,0.0876,3.21e-06,0.102,0.669,-7.354,0.606,-7.354,bright,atonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Deus Ex Machina,Cavalera Conspiracy,603,91.2909088135,A,minor,0.806425988674,389.276733398,0.946,0.0817,8.54e-06,0.922,0.362,0.305,-4.821,0.224,-4.821,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Cradle,Buckcherry,344,92.3443832397,G,major,0.952224135399,224.039993286,0.938,0.0462,0.0029,1.17e-05,0.0698,0.475,-4.235,0.445,-4.235,bright,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
Bad Moon Rising,John Fogerty | Train,212,93.6803283691,D,minor,0.977425098419,135.679992676,0.857,0.0484,0.0144,5.11e-06,0.146,0.512,-5.141,0.823,-5.141,dark,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,aggressive,not_acoustic
Scratch Your Name,Noisettes,474,151.666702271,D#,minor,0.967780768871,188.212249756,0.922,0.0686,0.0448,0.000129,0.0639,0.511,-2.707,0.696,-2.707,dark,atonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Keeping Your Head Up (Topic remix),Birdy,444,125.05078125,G#,minor,0.356687039137,211.147750854,0.595,0.0633,0.141,5.25e-06,0.0949,0.58,-8.477,0.443,-8.477,dark,tonal,instrumental,sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Home,Machine Gun Kelly | X Ambassadors | Bebe Rexha,546,163.851348877,D#,minor,0.733629584312,202.004898071,0.718,0.213,0.00413,0,0.0537,0.653,-5.232,0.216,-5.232,dark,tonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Please Remember Me,Swans,502,98.0536880493,F,minor,0.492899179459,288.993713379,0.424,0.0291,0.0054,0.14,0.572,0.571,-13.244,0.316,-13.244,dark,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Trane / Eternity’s Breath / St. Stephen Jam,Gov’t Mule,2452,178.205596924,A,major,0.909236907959,1157.92004395,0.837,0.0547,0.0551,0.845,0.712,0.337,-6.188,0.501,-6.188,bright,tonal,instrumental,not_sad,not_relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Wolves,The Blackout,478,118.00667572,G,major,0.961147010326,242.520812988,0.874,0.0316,2.92e-05,5.29e-06,0.11,0.577,-4.512,0.399,-4.512,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Zig Zag Wanderer,Captain Beefheart,379,143.809585571,G#,major,0.932624816895,160.130615234,0.843,0.0747,0.058,0.0334,0.115,0.428,-7.655,0.885,-7.655,dark,atonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,aggressive,not_acoustic
I’m Falling,The J. Geils Band,670,71.9418487549,C,major,0.460631728172,350.406524658,0.532,0.0411,0.24,0.00154,0.168,0.476,-6.628,0.368,-6.628,bright,tonal,instrumental,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
The Profiteers,The Lawrence Arms,466,172.265594482,C,major,0.931353390217,180.742294312,0.77,0.0451,0.0387,1.03e-06,0.292,0.275,-7.606,0.48,-7.606,dark,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Ritual (Reset! remix),Ladytron,579,128.787597656,D,minor,0.924501776695,270.410583496,0.885,0.0657,0.00135,0.665,0.0603,0.694,-5.808,0.61,-5.808,bright,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
A Rosa e o Beija Flor,Matheus & Kauan,300,110.442718506,G#,major,0.961038053036,176.613876343,0.928,0.223,0.0784,0,0.856,0.484,-3.0,0.579,-3.0,bright,tonal,voice,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Stalker Song,Danzig,530,96.7654724121,F#,major,0.88454324007,336.718353271,0.659,0.0438,0.000457,0.159,0.113,0.207,-6.217,0.156,-6.217,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,not_electronic,aggressive,not_acoustic
"I Won't See You Tonight, Part 1 (demo)",Avenged Sevenfold,808,132.049758911,A#,major,0.929315149784,367.359985352,0.891,0.0547,4.09e-06,0.574,0.317,0.466,-5.54,0.229,-5.54,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,not_electronic,aggressive,not_acoustic
Kissing My Love,Bill Withers,357,93.7419052124,C#,major,0.776292145252,229.266662598,0.526,0.178,0.302,0.000152,0.0552,0.838,-13.079,0.892,-13.079,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
